word_length	Freq
1	52
2	182
3	846
4	3352
5	6799
6	11302
7	14788
8	15684
9	14248
10	11529
11	8408
12	5502
13	3234
14	1676
15	890
16	381
17	176
18	72
19	31
20	10
21	3
22	5
23	1
